transaction_id,merchant_id,merchant_name,amount,transaction_type,location,timestamp,customer_id,balance_before,balance_after,card_number,is_fraud
TXN00001,MER1037,IKEA,95.09,Mobile Payment,"Seattle, WA",2024-04-08 08:15:00,CUST4790,6172.15,6077.06,****9801,0
TXN00002,MER1003,Target,491.0,Online Purchase,"Austin, TX",2024-01-30 04:09:00,CUST3711,27602.0,27111.0,****2200,0
TXN00003,MER1008,Sam Club,235.82,Card Payment,"Charlotte, NC",2024-04-17 17:23:00,CUST1728,26742.2,26506.38,****4410,0
TXN00004,MER1007,Costco,403.58,In-Store,"New York, NY",2024-10-12 07:45:00,CUST3846,14412.68,14412.68,****3059,1
TXN00005,MER1001,Amazon,33.81,Card Payment,"San Francisco, CA",2024-10-26 09:45:00,CUST4503,3962.8,3928.99,****1947,0
TXN00006,MER1007,Costco,1173.37,In-Store,"Dallas, TX",2024-04-04 13:45:00,CUST4737,25574.92,24401.55,****9229,0
TXN00007,MER1018,Dollar General,8.93,In-Store,"San Jose, CA",2024-09-25 01:29:00,CUST3773,45273.51,45264.58,****5865,0
TXN00008,MER1024,Barnes Noble,117.35,Mobile Payment,"Denver, CO",2024-05-03 21:52:00,CUST2400,9794.5,9677.15,****1489,0
TXN00009,MER1027,PetSmart,225.04,Online Purchase,"New York, NY",2024-11-06 22:13:00,CUST4924,18944.27,18719.23,****5561,0
TXN00010,MER1014,TJ Maxx,93.8,In-Store,"Denver, CO",2024-09-13 05:37:00,CUST3787,5596.7,5502.9,****8263,0
TXN00011,MER1015,Marshall,46.17,Mobile Payment,"El Paso, TX",2024-06-28 23:37:00,CUST3258,35466.24,35420.07,****5987,0
TXN00012,MER1013,Sears,80.55,Mobile Payment,"Baltimore, MD",2024-08-25 13:11:00,CUST2863,7758.77,7678.22,****5592,0
TXN00013,MER1005,Home Depot,1465.96,Online Purchase,"Portland, OR",2024-01-20 04:14:00,CUST4663,36351.34,37817.3,****7483,1
TXN00014,MER1024,Barnes Noble,55.94,In-Store,"Indianapolis, IN",2024-01-27 19:06:00,CUST4059,12057.17,12001.23,****8679,0
TXN00015,MER1008,Sam Club,70.02,Mobile Payment,"San Jose, CA",2024-03-02 04:26:00,CUST4125,21579.98,21509.96,****3962,0
TXN00016,MER1022,Bath Body Works,52.2,In-Store,"San Francisco, CA",2024-05-02 04:11:00,CUST2750,41497.41,41445.21,****4229,0
