transaction_id,merchant_id,merchant_name,amount,transaction_type,location,timestamp,customer_id,balance_before,balance_after,card_number,is_fraud
TXN20001,MER3008,RaceTrac,7.97,Card Payment,"Kyoto, Japan",2024-03-05 19:25:00,CUST6795,954.1,946.13,****4260,0
TXN20002,MER3036,Freshness Burger,21.85,Card Payment,"Fukuoka, Japan",2024-02-29 04:26:00,CUST6233,4873.18,4851.33,****7430,0
TXN20003,MER3035,Lotteria,26.99,Card Payment,"Hiroshima, Japan",2024-04-05 07:58:00,CUST6196,2384.54,2357.55,****8030,0
TXN20004,MER3020,Dunkin,11.41,Contactless,"Osaka, Japan",2024-09-04 04:12:00,CUST6890,4416.17,4404.76,****4384,0
TXN20005,MER3012,Daily Yamazaki,26.14,Contactless,"Tokyo, Japan",2024-09-20 18:01:00,CUST4724,284.55,258.41,****1945,0
TXN20006,MER3028,Chipotle,13.81,Mobile Payment,"Osaka, Japan",2024-09-01 19:04:00,CUST4797,3640.4,3626.59,****2306,0
TXN20007,MER3013,Sunkus,5.65,Contactless,"Austin, TX",2024-06-08 17:17:00,CUST5865,3881.72,3876.07,****4809,0
TXN20008,MER3030,Yoshinoya,17.38,Card Payment,"Vancouver, BC",2024-11-13 23:01:00,CUST5057,4290.41,4273.03,****5659,0
TXN20009,MER3035,Lotteria,14.57,Contactless,"Vancouver, BC",2024-08-02 13:22:00,CUST5619,2570.78,2556.21,****6660,0
TXN20010,MER3015,Three F,7.43,Contactless,"Manchester, UK",2024-09-01 10:07:00,CUST3282,3805.49,3798.06,****4787,0
TXN20011,MER3028,Chipotle,37.17,Mobile Payment,"Toronto, ON",2024-07-07 17:19:00,CUST4158,1663.95,1626.78,****1816,0
TXN20012,MER3033,Mos Burger,15.26,Mobile Payment,"San Diego, CA",2024-09-21 22:48:00,CUST5855,1229.28,1214.02,****2690,0
TXN20013,MER3020,Dunkin,24.89,Contactless,"Hiroshima, Japan",2024-07-09 02:13:00,CUST3264,1120.77,1095.88,****5593,0
TXN20014,MER3015,Three F,5.98,Cash,"Los Angeles, CA",2024-04-28 19:32:00,CUST4357,2677.61,2671.63,****6291,0
TXN20015,MER3022,KFC,21.13,Mobile Payment,"London, UK",2024-10-26 17:56:00,CUST6064,1229.02,1250.15,****1987,1
TXN20016,MER3017,Subway,29.41,Card Payment,"Toronto, ON",2024-06-27 13:55:00,CUST6822,3644.38,3614.97,****2958,0
TXN20017,MER3028,Chipotle,11.92,Mobile Payment,"Ottawa, ON",2024-02-16 14:37:00,CUST5388,394.83,382.91,****5151,0
TXN20018,MER3035,Lotteria,35.9,Cash,"Tokyo, Japan",2024-11-02 22:07:00,CUST6970,4984.0,4948.1,****7946,0
TXN20019,MER3013,Sunkus,14.2,Cash,"Phoenix, AZ",2024-07-01 17:03:00,CUST5400,3165.18,3150.98,****1198,0
TXN20020,MER3015,Three F,17.52,Mobile Payment,"Yokohama, Japan",2024-05-01 17:32:00,CUST3712,4979.34,4961.82,****9986,0
TXN20021,MER3017,Subway,13.14,Cash,"Hiroshima, Japan",2024-02-01 18:33:00,CUST5685,837.93,824.79,****1851,0
TXN20022,MER3018,McDonald,17.59,Card Payment,"Toronto, ON",2024-03-24 05:33:00,CUST4900,3055.04,3037.45,****9782,0
TXN20023,MER3002,Circle K,8.13,Contactless,"Manchester, UK",2024-07-13 12:17:00,CUST3199,1977.99,1969.86,****9476,0
TXN20024,MER3030,Yoshinoya,13.51,Cash,"Vancouver, BC",2024-06-14 23:04:00,CUST6605,3348.62,3335.11,****6121,0
TXN20025,MER3037,Saizeriya,9.44,Mobile Payment,"Chicago, IL",2024-09-04 13:02:00,CUST4809,3867.4,3857.96,****1538,0
TXN20026,MER3005,Cumberland Farms,37.91,Cash,"San Diego, CA",2024-07-10 19:32:00,CUST5638,1762.01,1724.1,****9990,0
TXN20027,MER3019,Starbucks,15.23,Mobile Payment,"Vancouver, BC",2024-02-29 04:16:00,CUST5690,4943.21,4927.98,****4882,0
TXN20028,MER3002,Circle K,23.13,Card Payment,"Sendai, Japan",2024-07-12 19:01:00,CUST5384,2531.61,2508.48,****5565,0
TXN20029,MER3027,Little Caesars,10.81,Card Payment,"Osaka, Japan",2024-04-27 09:59:00,CUST3152,1827.75,1816.94,****4224,0
TXN20030,MER3017,Subway,34.25,Card Payment,"Sendai, Japan",2024-05-30 03:52:00,CUST6659,1828.46,1794.21,****9080,0
TXN20031,MER3018,McDonald,20.09,Card Payment,"Austin, TX",2024-09-16 17:27:00,CUST5775,4484.63,4464.54,****6247,0
TXN20032,MER3024,Pizza Hut,25.34,Contactless,"Ottawa, ON",2024-07-07 20:53:00,CUST5366,1215.65,1190.31,****3886,0
TXN20033,MER3037,Saizeriya,29.16,Mobile Payment,"Sendai, Japan",2024-09-13 09:03:00,CUST5260,88.5,59.34,****1754,0
TXN20034,MER3022,KFC,13.03,Cash,"Nagoya, Japan",2024-10-19 10:53:00,CUST3473,1168.7,1155.67,****4697,0
TXN20035,MER3030,Yoshinoya,12.6,Cash,"Nagoya, Japan",2024-03-28 13:55:00,CUST3581,3457.43,3444.83,****3431,0
TXN20036,MER3006,Sheetz,39.54,Mobile Payment,"Los Angeles, CA",2024-03-08 07:22:00,CUST3431,4658.27,4618.73,****9902,0
TXN20037,MER3010,Lawson,12.13,Cash,"Tokyo, Japan",2024-11-22 15:41:00,CUST4435,1083.36,1071.23,****7893,0
TXN20038,MER3006,Sheetz,33.4,Mobile Payment,"Ottawa, ON",2024-08-01 19:58:00,CUST5434,3038.04,3004.64,****3491,0
TXN20039,MER3026,Papa John,22.74,Contactless,"Houston, TX",2024-04-25 07:16:00,CUST3736,2330.07,2307.33,****2168,0
TXN20040,MER3001,7-Eleven,3.89,Mobile Payment,"Kobe, Japan",2024-05-23 00:39:00,CUST5681,3178.89,3175.0,****8988,0
TXN20041,MER3003,Wawa,16.38,Mobile Payment,"Fukuoka, Japan",2024-10-03 00:41:00,CUST6928,4792.93,4776.55,****1635,0
TXN20042,MER3020,Dunkin,6.93,Contactless,"Austin, TX",2024-04-15 22:20:00,CUST6895,4145.39,4138.46,****2175,0
TXN20043,MER3024,Pizza Hut,22.87,Cash,"Hiroshima, Japan",2024-11-03 15:04:00,CUST6673,4035.94,4013.07,****9807,0
TXN20044,MER3036,Freshness Burger,10.55,Mobile Payment,"London, UK",2024-06-12 08:10:00,CUST3716,3344.57,3334.02,****3149,0
TXN20045,MER3029,Panda Express,10.95,Mobile Payment,"London, UK",2024-03-29 21:03:00,CUST4568,597.86,586.91,****7394,0
TXN20046,MER3008,RaceTrac,28.1,Card Payment,"Glasgow, UK",2024-10-08 13:18:00,CUST5999,3058.43,3030.33,****9674,0
TXN20047,MER3008,RaceTrac,28.94,Cash,"San Antonio, TX",2024-06-13 22:20:00,CUST5178,2270.63,2241.69,****8505,0
TXN20048,MER3001,7-Eleven,12.56,Contactless,"Fukuoka, Japan",2024-10-14 13:39:00,CUST6386,545.58,533.02,****1515,0
TXN20049,MER3015,Three F,15.13,Cash,"Los Angeles, CA",2024-04-25 19:26:00,CUST6463,2414.04,2398.91,****6838,0
TXN20050,MER3033,Mos Burger,5.2,Cash,"Tokyo, Japan",2024-11-26 03:02:00,CUST4001,548.98,543.78,****4441,0
TXN20051,MER3003,Wawa,8.04,Mobile Payment,"Los Angeles, CA",2024-11-24 04:00:00,CUST3561,4124.38,4116.34,****5378,0
TXN20052,MER3017,Subway,23.06,Cash,"Houston, TX",2024-08-18 19:17:00,CUST5633,4053.29,4030.23,****7558,0
TXN20053,MER3001,7-Eleven,16.5,Cash,"Los Angeles, CA",2024-05-25 11:41:00,CUST6573,4470.32,4453.82,****3185,0
TXN20054,MER3030,Yoshinoya,17.84,Contactless,"Manchester, UK",2024-02-27 02:35:00,CUST5514,4666.12,4648.28,****8010,0
TXN20055,MER3039,Royal Host,4.95,Card Payment,"Glasgow, UK",2024-06-01 15:46:00,CUST6498,778.53,773.58,****7401,0
TXN20056,MER3016,AM PM,24.86,Mobile Payment,"Manchester, UK",2024-06-22 17:05:00,CUST4563,1763.96,1739.1,****3189,0
TXN20057,MER3030,Yoshinoya,13.97,Cash,"Kobe, Japan",2024-11-05 22:16:00,CUST5045,54.81,40.84,****9818,0
TXN20058,MER3003,Wawa,14.34,Mobile Payment,"Dallas, TX",2024-05-08 18:58:00,CUST5199,2289.18,2274.84,****5659,0
TXN20059,MER3002,Circle K,13.42,Contactless,"Ottawa, ON",2024-10-15 05:51:00,CUST3298,1962.51,1949.09,****9183,0
TXN20060,MER3007,Casey General,5.12,Mobile Payment,"Philadelphia, PA",2024-06-16 07:33:00,CUST6552,4973.35,4968.23,****7079,0
TXN20061,MER3029,Panda Express,12.08,Contactless,"Los Angeles, CA",2024-07-12 01:51:00,CUST4356,653.47,641.39,****1687,0
TXN20062,MER3036,Freshness Burger,11.13,Contactless,"Osaka, Japan",2024-11-20 15:35:00,CUST5269,2218.51,2207.38,****9113,0
TXN20063,MER3027,Little Caesars,37.13,Cash,"Manchester, UK",2024-06-25 13:12:00,CUST6480,1264.48,1227.35,****3596,0
TXN20064,MER3003,Wawa,5.73,Contactless,"Sendai, Japan",2024-02-10 03:27:00,CUST6290,3781.73,3776.0,****8126,0
TXN20065,MER3002,Circle K,4.79,Cash,"Houston, TX",2024-10-03 12:53:00,CUST3798,3280.84,3276.05,****6987,0
TXN20066,MER3034,First Kitchen,10.67,Cash,"Nagoya, Japan",2024-07-01 21:39:00,CUST6711,2949.87,2949.87,****4703,1
TXN20067,MER3013,Sunkus,7.44,Contactless,"Austin, TX",2024-05-09 20:01:00,CUST4102,1845.91,1838.47,****7004,0
TXN20068,MER3018,McDonald,7.57,Mobile Payment,"Kobe, Japan",2024-11-28 17:24:00,CUST3579,2707.3,2699.73,****3042,0
TXN20069,MER3013,Sunkus,20.4,Contactless,"Glasgow, UK",2024-05-27 20:36:00,CUST3427,2649.84,2629.44,****6853,0
TXN20070,MER3024,Pizza Hut,33.33,Mobile Payment,"Liverpool, UK",2024-04-17 08:48:00,CUST4993,2894.52,2861.19,****6555,0
TXN20071,MER3009,FamilyMart,18.03,Mobile Payment,"Chicago, IL",2024-04-21 14:34:00,CUST5871,3730.12,3712.09,****7521,0
TXN20072,MER3008,RaceTrac,18.14,Contactless,"San Diego, CA",2024-05-24 04:24:00,CUST3325,3600.63,3582.49,****4586,0
