transaction_id,merchant_id,merchant_name,amount,transaction_type,location,timestamp,customer_id,balance_before,balance_after,card_number,is_fraud
TXN30001,MER4002,Venmo,324.44,P2P Transfer,"Austin, TX",2024-11-17 23:14:00,CUST9091,97780.24,97780.24,****5052,1
TXN30002,MER4018,MoneyGram,4957.1,Crypto Exchange,"Miami, FL",2024-11-26 07:58:00,CUST5721,97613.19,102570.29,****8370,1
TXN30003,MER4011,Coinbase,43188.37,Online Transfer,"San Francisco, CA",2024-06-30 21:07:00,CUST6780,22664.01,-20524.36,****6854,0
TXN30004,MER4025,Acorns,7043.43,P2P Transfer,"Cleveland, OH",2024-05-16 11:29:00,CUST7287,18118.4,11074.97,****1479,0
TXN30005,MER4003,Zelle,9796.5,Online Transfer,"Denver, CO",2024-07-19 22:56:00,CUST5838,77833.12,68036.62,****3754,0
TXN30006,MER4003,Zelle,1132.31,Mobile Payment,"Minneapolis, MN",2024-10-06 09:42:00,CUST6206,70298.04,69165.73,****1755,0
TXN30007,MER4015,Bitfinex,3052.8,Online Transfer,"Columbus, OH",2024-10-05 22:37:00,CUST9904,10175.42,7122.62,****3122,0
TXN30008,MER4012,Binance,34776.83,Digital Wallet,"Boston, MA",2024-12-03 05:59:00,CUST9356,45094.64,79871.47,****4452,1
TXN30009,MER4037,Uniswap,9506.52,Digital Wallet,"Nashville, TN",2024-07-23 10:57:00,CUST8883,7844.94,-1661.58,****9174,0
TXN30010,MER4004,Cash App,831.08,P2P Transfer,"Detroit, MI",2024-06-30 13:22:00,CUST8528,53082.63,53913.71,****9992,1
TXN30011,MER4038,PancakeSwap,4193.77,Digital Wallet,"Washington, DC",2024-04-15 10:30:00,CUST8240,35720.14,31526.37,****6764,0
TXN30012,MER4039,SushiSwap,9078.44,P2P Transfer,"Seattle, WA",2024-09-11 15:19:00,CUST5154,39298.2,39298.2,****5421,1
TXN30013,MER4038,PancakeSwap,4456.02,Crypto Exchange,"Boston, MA",2024-05-10 03:22:00,CUST8556,22632.12,18176.1,****3756,0
TXN30014,MER4031,Litecoin Wallet,8233.58,Crypto Exchange,"Miami, FL",2024-06-11 19:25:00,CUST7335,63901.98,55668.4,****4155,0
TXN30015,MER4014,Gemini,8379.08,P2P Transfer,"Portland, OR",2024-04-24 21:31:00,CUST8442,27943.88,27943.88,****7949,1
TXN30016,MER4025,Acorns,9527.27,Mobile Payment,"Seattle, WA",2024-06-24 03:29:00,CUST6830,32111.29,22584.02,****4725,0
TXN30017,MER4005,Apple Pay,238.66,Crypto Exchange,"Orlando, FL",2024-08-21 15:35:00,CUST6749,61860.2,61621.54,****7658,0
TXN30018,MER4021,Revolut,2213.42,Online Transfer,"New York, NY",2024-10-04 15:38:00,CUST5931,40529.96,38316.54,****1755,0
TXN30019,MER4033,Cardano Platform,70.62,Mobile Payment,"San Francisco, CA",2024-09-17 01:30:00,CUST6323,94406.88,94336.26,****5960,0
TXN30020,MER4023,SoFi,9147.87,Crypto Exchange,"Los Angeles, CA",2024-04-30 19:47:00,CUST9075,4411.45,-4736.42,****5157,0
TXN30021,MER4028,Personal Capital,6101.67,Online Transfer,"Washington, DC",2024-06-18 03:54:00,CUST7660,79032.36,72930.69,****1650,0
TXN30022,MER4031,Litecoin Wallet,8989.3,Crypto Exchange,"Kansas City, MO",2024-10-10 10:36:00,CUST7867,18021.5,9032.2,****2992,0
TXN30023,MER4012,Binance,13420.68,Digital Wallet,"Columbus, OH",2024-11-09 15:42:00,CUST7755,80826.34,67405.66,****7823,0
TXN30024,MER4026,Stash,1008.38,Crypto Exchange,"Pittsburgh, PA",2024-07-29 06:31:00,CUST8529,21605.31,20596.93,****1716,0
TXN30025,MER4019,Wise,2580.57,Digital Wallet,"Nashville, TN",2024-04-28 15:05:00,CUST9503,40808.6,40808.6,****8618,1
