transaction_id,merchant_id,merchant_name,amount,transaction_type,location,timestamp,customer_id,balance_before,balance_after,card_number,is_fraud
TXN10001,MER2035,Jaeger LeCoultre,179993.96,Wire Transfer,"Dubai, UAE",2024-01-26 01:04:00,CUST6594,7281099.36,7101105.4,****8638,0
TXN10002,MER2009,Louis Vuitton,8214.68,Private Banking,Singapore,2024-10-24 06:22:00,CUST5309,4335646.55,4327431.87,****4108,0
TXN10003,MER2015,Rolls Royce,74451.7,Private Banking,"St. Moritz, Switzerland",2024-02-12 20:35:00,CUST6480,6561136.46,6486684.76,****3806,0
TXN10004,MER2027,Mandarin Oriental,119408.1,Online Purchase,"St. Moritz, Switzerland",2024-09-10 10:49:00,CUST9407,8210365.36,8090957.26,****1945,0
TXN10005,MER2022,Koenigsegg,37081.62,Wire Transfer,"Park City, UT",2024-09-09 14:19:00,CUST6349,5307217.01,5270135.39,****9850,0
TXN10006,MER2020,Jaguar,104259.86,Private Banking,"Telluride, CO",2024-08-28 22:19:00,CUST6543,7329949.75,7225689.89,****8787,0
TXN10007,MER2030,Aman Resorts,130236.92,Private Banking,"Sydney, Australia",2024-02-16 11:28:00,CUST5941,5812200.78,5681963.86,****1627,0
TXN10008,MER2010,Chanel,47106.67,Wire Transfer,"St. Tropez, France",2024-10-10 18:30:00,CUST7232,8313062.33,8265955.66,****2067,0
TXN10009,MER2031,Rosewood,43573.01,Card Payment,"Toronto, Canada",2024-11-25 08:58:00,CUST6161,4668780.76,4625207.75,****3907,0
TXN10010,MER2035,Jaeger LeCoultre,68453.38,Private Banking,"Martha Vineyard, MA",2024-04-09 06:06:00,CUST8630,362290.87,293837.49,****7702,0
TXN10011,MER2017,McLaren,832568.03,Card Payment,Hong Kong,2024-06-29 18:32:00,CUST7465,9675514.69,10508082.72,****9357,1
TXN10012,MER2036,IWC,23785.46,Card Payment,"Napa Valley, CA",2024-04-22 17:41:00,CUST9986,5587119.55,5587119.55,****5312,1
TXN10013,MER2024,St. Regis,37945.53,Wire Transfer,"Martha Vineyard, MA",2024-08-16 19:40:00,CUST6598,425728.79,387783.26,****3353,0
TXN10014,MER2036,IWC,104265.96,Wire Transfer,"Zurich, Switzerland",2024-11-05 15:23:00,CUST9105,4947624.26,4947624.26,****5075,1
TXN10015,MER2002,Cartier,132601.55,Card Payment,Monaco,2024-08-21 15:15:00,CUST7170,1443054.64,1310453.09,****2906,0
TXN10016,MER2012,Lamborghini,1799820.14,Private Banking,"Sydney, Australia",2024-01-20 16:10:00,CUST8344,9594798.02,7794977.88,****7044,0
TXN10017,MER2020,Jaguar,89618.4,Private Banking,"Paris, France",2024-03-30 05:03:00,CUST8325,2055158.17,1965539.77,****1141,0
TXN10018,MER2021,Bugatti,200638.04,Wire Transfer,"Beverly Hills, CA",2024-03-26 05:30:00,CUST7692,2323977.14,2123339.1,****5726,0
TXN10019,MER2006,Burberry,146924.13,Online Purchase,"Carmel, CA",2024-08-24 07:54:00,CUST5401,3598149.95,3451225.82,****9468,0
TXN10020,MER2001,Rolex,378902.07,Card Payment,"Martha Vineyard, MA",2024-10-19 02:07:00,CUST6113,1018336.27,639434.2,****8947,0
TXN10021,MER2033,Patek Philippe,125733.85,Private Banking,"Sydney, Australia",2024-10-27 15:02:00,CUST6166,254901.63,129167.78,****2382,0
TXN10022,MER2004,Bulgari,163636.22,Wire Transfer,Monaco,2024-11-18 20:30:00,CUST6036,8241147.96,8077511.74,****5678,0
TXN10023,MER2019,Maserati,43101.25,Online Purchase,"Sydney, Australia",2024-06-01 07:07:00,CUST5809,7603354.32,7560253.07,****9530,0
TXN10024,MER2014,Bentley,153888.78,Card Payment,"Scottsdale, AZ",2024-06-21 22:33:00,CUST9540,4449378.07,4449378.07,****9374,1
TXN10025,MER2028,Peninsula,140365.85,Private Banking,"London, UK",2024-06-11 10:29:00,CUST7403,8928556.15,8928556.15,****6038,1
TXN10026,MER2027,Mandarin Oriental,40819.19,Online Purchase,"London, UK",2024-10-21 00:04:00,CUST6993,7440674.1,7440674.1,****4462,1
TXN10027,MER2025,Four Seasons,43422.59,Online Purchase,"Beverly Hills, CA",2024-10-22 20:51:00,CUST8662,1531567.41,1488144.82,****5738,0
TXN10028,MER2032,Audemars Piguet,210899.32,Private Banking,"Paris, France",2024-11-26 16:13:00,CUST8678,851493.45,851493.45,****6850,1
TXN10029,MER2031,Rosewood,85161.2,Online Purchase,"Cannes, France",2024-04-23 08:43:00,CUST5074,3992154.24,3906993.04,****2833,0
TXN10030,MER2018,Lotus,62657.39,Private Banking,"Milan, Italy",2024-09-30 01:02:00,CUST5055,2806858.79,2806858.79,****3510,1
TXN10031,MER2002,Cartier,107061.57,Wire Transfer,"Sydney, Australia",2024-02-13 08:01:00,CUST7654,2060400.72,2060400.72,****5089,1
TXN10032,MER2023,Pagani,55930.68,Wire Transfer,"Sydney, Australia",2024-10-09 03:58:00,CUST6819,8058219.99,8002289.31,****2273,0
TXN10033,MER2035,Jaeger LeCoultre,165357.26,Card Payment,"Toronto, Canada",2024-06-05 04:33:00,CUST8665,4232132.57,4066775.31,****3771,0
TXN10034,MER2011,Ferrari,1150045.95,Private Banking,"Tokyo, Japan",2024-01-21 22:20:00,CUST8213,4529015.0,3378969.05,****5523,0
TXN10035,MER2031,Rosewood,40051.01,Wire Transfer,"Carmel, CA",2024-01-25 03:52:00,CUST6703,1495537.95,1455486.94,****5398,0
TXN10036,MER2008,Prada,9798.02,Card Payment,"Cannes, France",2024-03-21 11:08:00,CUST8016,8730825.01,8721026.99,****8791,0
TXN10037,MER2016,Aston Martin,157804.51,Wire Transfer,"Miami Beach, FL",2024-07-13 01:18:00,CUST8918,865828.94,708024.43,****4331,0
TXN10038,MER2038,Breitling,41051.21,Card Payment,"St. Tropez, France",2024-05-10 20:45:00,CUST7588,9076430.33,9035379.12,****4894,0
TXN10039,MER2028,Peninsula,41351.72,Wire Transfer,"Telluride, CO",2024-01-16 13:50:00,CUST5082,5314614.49,5273262.77,****2168,0
TXN10040,MER2028,Peninsula,103852.14,Private Banking,Singapore,2024-06-16 12:00:00,CUST8371,9039151.83,8935299.69,****5300,0
TXN10041,MER2034,Vacheron Constantin,133451.18,Private Banking,"Zurich, Switzerland",2024-03-22 09:33:00,CUST8314,5572142.67,5438691.49,****9392,0
TXN10042,MER2020,Jaguar,127931.0,Private Banking,"London, UK",2024-02-27 23:50:00,CUST6538,654214.77,526283.77,****8868,0
TXN10043,MER2029,Park Hyatt,56700.84,Online Purchase,Monaco,2024-03-24 05:46:00,CUST7670,7804303.89,7747603.05,****2529,0
TXN10044,MER2035,Jaeger LeCoultre,138879.56,Private Banking,"Martha Vineyard, MA",2024-07-30 12:51:00,CUST9927,4621613.98,4482734.42,****8483,0
TXN10045,MER2001,Rolex,91791.34,Online Purchase,"The Hamptons, NY",2024-08-25 08:00:00,CUST7915,5332449.92,5240658.58,****1815,0
TXN10046,MER2030,Aman Resorts,51341.03,Private Banking,"Miami Beach, FL",2024-10-10 19:05:00,CUST9887,5658149.63,5606808.6,****9083,0
TXN10047,MER2001,Rolex,45716.96,Private Banking,"Key Largo, FL",2024-05-01 00:32:00,CUST6786,6467604.91,6421887.95,****9183,0
TXN10048,MER2008,Prada,73550.75,Online Purchase,"Tokyo, Japan",2024-02-19 17:31:00,CUST5840,8435018.5,8361467.75,****6903,0
TXN10049,MER2020,Jaguar,8863.54,Online Purchase,"St. Moritz, Switzerland",2024-07-25 20:12:00,CUST9891,772882.76,764019.22,****3914,0
TXN10050,MER2034,Vacheron Constantin,103943.76,Online Purchase,"Miami Beach, FL",2024-03-30 18:40:00,CUST7716,3712149.98,3608206.22,****3302,0
TXN10051,MER2021,Bugatti,1147942.0,Card Payment,Monaco,2024-04-03 08:49:00,CUST6092,7174818.73,6026876.73,****1234,0
TXN10052,MER2021,Bugatti,1032604.94,Private Banking,"Aspen, CO",2024-05-05 21:06:00,CUST7092,362673.43,-669931.51,****9579,0
TXN10053,MER2003,Tiffany Co,145102.78,Online Purchase,"Scottsdale, AZ",2024-08-19 22:35:00,CUST9111,1191126.66,1191126.66,****5854,1
TXN10054,MER2039,Tag Heuer,90952.81,Private Banking,"Miami Beach, FL",2024-09-10 13:22:00,CUST8606,7873949.99,7782997.18,****6726,0
TXN10055,MER2020,Jaguar,117589.13,Private Banking,"Milan, Italy",2024-05-26 21:50:00,CUST8588,5167044.38,5049455.25,****5765,0
TXN10056,MER2017,McLaren,568375.52,Private Banking,"Carmel, CA",2024-10-01 14:14:00,CUST5527,9755107.37,9186731.85,****4743,0
TXN10057,MER2016,Aston Martin,102255.57,Wire Transfer,"Miami Beach, FL",2024-05-26 14:41:00,CUST9817,5485213.5,5485213.5,****2866,1
TXN10058,MER2033,Patek Philippe,308835.67,Online Purchase,"Kiawah Island, SC",2024-09-03 04:39:00,CUST5355,6940292.41,7249128.08,****9707,1
TXN10059,MER2014,Bentley,184104.62,Private Banking,"St. Moritz, Switzerland",2024-09-24 15:12:00,CUST6421,9130811.91,8946707.29,****8060,0
TXN10060,MER2037,Omega,55337.19,Online Purchase,Singapore,2024-08-04 15:22:00,CUST5954,2552333.11,2496995.92,****9742,0
TXN10061,MER2028,Peninsula,11509.01,Private Banking,Monaco,2024-10-21 14:10:00,CUST5815,6837364.59,6825855.58,****6095,0
TXN10062,MER2001,Rolex,394480.41,Online Purchase,"Scottsdale, AZ",2024-10-27 19:08:00,CUST6860,4302490.12,3908009.71,****2272,0
TXN10063,MER2014,Bentley,88091.92,Online Purchase,"Telluride, CO",2024-10-30 23:52:00,CUST9280,9833878.38,9745786.46,****4748,0
TXN10064,MER2010,Chanel,43283.49,Card Payment,"Cannes, France",2024-07-13 18:02:00,CUST5178,3885428.71,3842145.22,****5043,0
TXN10065,MER2001,Rolex,63228.17,Card Payment,"Cannes, France",2024-03-23 05:25:00,CUST6700,8064690.46,8001462.29,****7164,0
TXN10066,MER2037,Omega,167906.58,Wire Transfer,"Paris, France",2024-03-12 20:19:00,CUST5500,1498689.44,1330782.86,****3949,0
TXN10067,MER2001,Rolex,263883.41,Wire Transfer,"Mykonos, Greece",2024-03-05 05:12:00,CUST8142,6162137.6,5898254.19,****8291,0
TXN10068,MER2022,Koenigsegg,195298.97,Online Purchase,"Aspen, CO",2024-02-29 01:07:00,CUST6899,7818102.73,7622803.76,****9985,0
TXN10069,MER2031,Rosewood,152278.93,Wire Transfer,"The Hamptons, NY",2024-09-05 23:48:00,CUST7050,7023842.57,7023842.57,****6097,1
TXN10070,MER2006,Burberry,63109.65,Wire Transfer,"Key Largo, FL",2024-04-09 20:10:00,CUST7987,7123224.34,7123224.34,****4438,1
TXN10071,MER2016,Aston Martin,168833.16,Online Purchase,"Napa Valley, CA",2024-05-31 22:05:00,CUST9859,4977837.72,4809004.56,****8276,0
TXN10072,MER2015,Rolls Royce,111260.12,Private Banking,"Scottsdale, AZ",2024-01-15 04:52:00,CUST5385,6731341.64,6620081.52,****1569,0
TXN10073,MER2034,Vacheron Constantin,43856.97,Online Purchase,"Key Largo, FL",2024-08-07 07:27:00,CUST9612,4109147.52,4109147.52,****5606,1
TXN10074,MER2034,Vacheron Constantin,67601.85,Card Payment,"Telluride, CO",2024-11-01 17:29:00,CUST9940,9274424.49,9274424.49,****3236,1
TXN10075,MER2027,Mandarin Oriental,95672.78,Wire Transfer,"Park City, UT",2024-03-15 01:04:00,CUST9225,7985296.0,7889623.22,****2087,0
TXN10076,MER2030,Aman Resorts,83814.36,Wire Transfer,"Zurich, Switzerland",2024-07-14 22:33:00,CUST6966,3612746.9,3528932.54,****5837,0
TXN10077,MER2027,Mandarin Oriental,180514.37,Online Purchase,"Manhattan, NY",2024-05-17 22:58:00,CUST8201,8120316.88,7939802.51,****6455,0
TXN10078,MER2033,Patek Philippe,96401.96,Card Payment,"Martha Vineyard, MA",2024-08-22 05:13:00,CUST8641,7309164.98,7212763.02,****4052,0
TXN10079,MER2033,Patek Philippe,222601.44,Online Purchase,"Scottsdale, AZ",2024-03-25 15:56:00,CUST6844,5522173.97,5299572.53,****7348,0
TXN10080,MER2012,Lamborghini,1850953.48,Online Purchase,Hong Kong,2024-09-11 16:50:00,CUST5397,5530646.83,3679693.35,****1611,0
TXN10081,MER2040,Zenith,167661.28,Private Banking,Singapore,2024-11-10 00:36:00,CUST7643,7155310.11,6987648.83,****5894,0
TXN10082,MER2010,Chanel,21503.77,Online Purchase,"Miami Beach, FL",2024-08-16 02:09:00,CUST8279,3835438.02,3813934.25,****9992,0
TXN10083,MER2007,Gucci,8874.63,Private Banking,"Milan, Italy",2024-02-09 09:08:00,CUST6986,6974138.4,6965263.77,****7126,0
TXN10084,MER2036,IWC,69069.51,Wire Transfer,"London, UK",2024-04-12 03:38:00,CUST7382,6544709.97,6475640.46,****1892,0
TXN10085,MER2009,Louis Vuitton,20947.92,Wire Transfer,"Toronto, Canada",2024-05-11 12:13:00,CUST9591,5717786.69,5696838.77,****3078,0
TXN10086,MER2033,Patek Philippe,377799.04,Wire Transfer,"St. Moritz, Switzerland",2024-06-29 18:41:00,CUST8963,2597562.29,2597562.29,****3207,1
TXN10087,MER2024,St. Regis,15585.53,Private Banking,"Tokyo, Japan",2024-10-05 08:33:00,CUST6947,3408473.82,3392888.29,****6385,0
TXN10088,MER2012,Lamborghini,1332751.43,Online Purchase,"Telluride, CO",2024-01-17 22:26:00,CUST7865,4096040.82,2763289.39,****7710,0
TXN10089,MER2009,Louis Vuitton,73275.77,Wire Transfer,"Beverly Hills, CA",2024-06-22 15:47:00,CUST8081,8768427.86,8695152.09,****4135,0
TXN10090,MER2003,Tiffany Co,160175.89,Card Payment,"Mykonos, Greece",2024-08-01 21:18:00,CUST7091,7014508.76,6854332.87,****4746,0
TXN10091,MER2039,Tag Heuer,77848.52,Wire Transfer,"Napa Valley, CA",2024-05-18 22:22:00,CUST8143,3247538.82,3169690.3,****1469,0
TXN10092,MER2021,Bugatti,1950250.43,Wire Transfer,"Beverly Hills, CA",2024-01-21 05:57:00,CUST6852,3365304.27,1415053.84,****8736,0
TXN10093,MER2032,Audemars Piguet,243004.82,Card Payment,"Toronto, Canada",2024-10-17 09:15:00,CUST6586,1756045.1,1513040.28,****7995,0
TXN10094,MER2039,Tag Heuer,181608.71,Wire Transfer,"Aspen, CO",2024-05-13 18:04:00,CUST5499,4036421.03,3854812.32,****3175,0
TXN10095,MER2029,Park Hyatt,50061.84,Card Payment,"Milan, Italy",2024-10-07 15:31:00,CUST9332,552591.58,502529.74,****6598,0
TXN10096,MER2016,Aston Martin,172415.99,Private Banking,"St. Moritz, Switzerland",2024-03-13 19:52:00,CUST9644,5992398.07,5992398.07,****9388,1
TXN10097,MER2016,Aston Martin,24979.89,Card Payment,"Paris, France",2024-11-05 23:32:00,CUST6752,9974174.23,9974174.23,****9159,1
TXN10098,MER2028,Peninsula,161982.79,Private Banking,Monaco,2024-03-12 01:04:00,CUST7662,4745383.24,4583400.45,****1198,0
TXN10099,MER2031,Rosewood,39349.25,Private Banking,"Napa Valley, CA",2024-07-04 12:33:00,CUST9211,7233758.13,7194408.88,****1513,0
TXN10100,MER2030,Aman Resorts,171234.01,Online Purchase,"St. Moritz, Switzerland",2024-04-08 05:15:00,CUST6653,9331763.49,9160529.48,****1923,0
TXN10101,MER2036,IWC,144705.01,Online Purchase,Singapore,2024-02-12 00:01:00,CUST5622,456053.28,311348.27,****7507,0
TXN10102,MER2010,Chanel,50668.85,Online Purchase,"Martha Vineyard, MA",2024-03-27 20:04:00,CUST9305,6984514.49,6933845.64,****2857,0
TXN10103,MER2024,St. Regis,1589.95,Card Payment,Monaco,2024-09-14 12:47:00,CUST9567,8978319.93,8976729.98,****9283,0
TXN10104,MER2014,Bentley,197183.51,Wire Transfer,"Manhattan, NY",2024-10-12 05:58:00,CUST9081,3222925.08,3025741.57,****1738,0
TXN10105,MER2009,Louis Vuitton,7682.03,Online Purchase,"Telluride, CO",2024-08-30 10:07:00,CUST9307,6921081.35,6913399.32,****4988,0
TXN10106,MER2022,Koenigsegg,135290.48,Online Purchase,"St. Tropez, France",2024-02-27 00:10:00,CUST5062,6926063.52,6790773.04,****5304,0
TXN10107,MER2030,Aman Resorts,186622.19,Private Banking,"Carmel, CA",2024-08-12 11:26:00,CUST5829,4673729.62,4487107.43,****4852,0
TXN10108,MER2006,Burberry,19199.28,Wire Transfer,"Carmel, CA",2024-07-07 10:57:00,CUST8182,5167372.91,5167372.91,****9100,1
TXN10109,MER2036,IWC,120445.77,Private Banking,"Zurich, Switzerland",2024-04-19 09:27:00,CUST7798,3091511.87,3211957.64,****3512,1
TXN10110,MER2038,Breitling,121682.16,Card Payment,"London, UK",2024-09-09 13:17:00,CUST5585,3459624.38,3337942.22,****9692,0
TXN10111,MER2004,Bulgari,49716.11,Wire Transfer,"Scottsdale, AZ",2024-10-26 15:37:00,CUST7202,8515396.04,8465679.93,****4094,0
TXN10112,MER2009,Louis Vuitton,36375.8,Wire Transfer,"Park City, UT",2024-03-15 14:43:00,CUST5476,227019.58,190643.78,****7894,0
TXN10113,MER2028,Peninsula,137371.25,Online Purchase,"Sydney, Australia",2024-08-07 20:56:00,CUST8022,4287964.75,4150593.5,****6785,0
TXN10114,MER2022,Koenigsegg,132226.89,Private Banking,Hong Kong,2024-08-16 21:52:00,CUST6750,9908882.03,9776655.14,****6387,0
TXN10115,MER2018,Lotus,42980.77,Private Banking,"Dubai, UAE",2024-02-07 09:08:00,CUST5094,9219407.13,9176426.36,****3553,0
TXN10116,MER2039,Tag Heuer,197143.84,Wire Transfer,"Toronto, Canada",2024-07-15 10:06:00,CUST7572,1402260.43,1402260.43,****4674,1
TXN10117,MER2007,Gucci,99187.37,Wire Transfer,"Martha Vineyard, MA",2024-09-10 07:46:00,CUST5279,9630039.36,9530851.99,****5573,0
TXN10118,MER2014,Bentley,131288.22,Wire Transfer,"Zurich, Switzerland",2024-08-31 21:22:00,CUST9754,5644993.77,5513705.55,****8692,0
TXN10119,MER2027,Mandarin Oriental,50162.43,Online Purchase,"Miami Beach, FL",2024-03-15 02:43:00,CUST8451,395341.19,345178.76,****1264,0
TXN10120,MER2009,Louis Vuitton,74479.52,Online Purchase,"The Hamptons, NY",2024-03-21 07:30:00,CUST6291,2386416.21,2311936.69,****1990,0
TXN10121,MER2008,Prada,132752.41,Online Purchase,"London, UK",2024-03-21 16:27:00,CUST9178,9537583.49,9537583.49,****9604,1
TXN10122,MER2015,Rolls Royce,165638.39,Card Payment,"St. Moritz, Switzerland",2024-07-23 07:52:00,CUST5864,1579098.7,1413460.31,****9075,0
TXN10123,MER2008,Prada,130275.91,Card Payment,"Sydney, Australia",2024-02-29 13:01:00,CUST7991,7077094.95,6946819.04,****6807,0
TXN10124,MER2009,Louis Vuitton,38773.33,Card Payment,"Kiawah Island, SC",2024-04-09 12:39:00,CUST9540,6667396.3,6628622.97,****8467,0
TXN10125,MER2003,Tiffany Co,43986.8,Wire Transfer,"Park City, UT",2024-01-20 22:30:00,CUST6754,3422397.02,3378410.22,****3285,0
TXN10126,MER2034,Vacheron Constantin,193703.61,Private Banking,"Scottsdale, AZ",2024-07-03 04:53:00,CUST7860,7316326.94,7122623.33,****7165,0
TXN10127,MER2014,Bentley,12429.81,Online Purchase,"Milan, Italy",2024-08-13 19:35:00,CUST7581,9164172.12,9151742.31,****9761,0
TXN10128,MER2035,Jaeger LeCoultre,157439.45,Wire Transfer,"Zurich, Switzerland",2024-01-29 14:00:00,CUST8388,9972159.9,9972159.9,****4225,1
TXN10129,MER2035,Jaeger LeCoultre,53383.44,Card Payment,"Telluride, CO",2024-06-09 06:00:00,CUST5043,1661247.44,1607864.0,****7273,0
TXN10130,MER2011,Ferrari,1869864.09,Private Banking,"Jackson Hole, WY",2024-11-15 10:46:00,CUST5782,6294819.81,4424955.72,****5450,0
TXN10131,MER2014,Bentley,58644.05,Private Banking,"Key Largo, FL",2024-02-05 06:51:00,CUST6157,153393.55,94749.5,****5750,0
TXN10132,MER2011,Ferrari,1885662.49,Online Purchase,"St. Moritz, Switzerland",2024-11-11 07:09:00,CUST5041,6648630.04,8534292.53,****1052,1
TXN10133,MER2017,McLaren,819693.26,Private Banking,"Tokyo, Japan",2024-09-17 09:32:00,CUST6939,3249271.89,3249271.89,****6726,1
TXN10134,MER2028,Peninsula,73176.83,Wire Transfer,"Telluride, CO",2024-06-26 10:38:00,CUST8993,1599684.18,1526507.35,****1439,0
TXN10135,MER2038,Breitling,169147.13,Private Banking,"The Hamptons, NY",2024-07-04 17:47:00,CUST9317,2307797.72,2138650.59,****3010,0
TXN10136,MER2035,Jaeger LeCoultre,58748.92,Card Payment,Monaco,2024-04-02 19:09:00,CUST9119,3250378.15,3191629.23,****1082,0
TXN10137,MER2022,Koenigsegg,51300.01,Online Purchase,"Kiawah Island, SC",2024-09-30 03:47:00,CUST6658,9608390.11,9557090.1,****4803,0
TXN10138,MER2035,Jaeger LeCoultre,123719.02,Online Purchase,"Big Sur, CA",2024-07-25 03:46:00,CUST9695,2531874.64,2531874.64,****6526,1
TXN10139,MER2026,Ritz Carlton,24158.75,Private Banking,"Paris, France",2024-09-05 10:19:00,CUST6965,7860274.63,7836115.88,****2723,0
TXN10140,MER2020,Jaguar,53248.9,Wire Transfer,"Tokyo, Japan",2024-05-18 07:05:00,CUST7723,5508544.94,5455296.04,****9477,0
TXN10141,MER2020,Jaguar,166755.83,Private Banking,"Napa Valley, CA",2024-05-28 07:15:00,CUST5990,291106.97,124351.14,****9087,0
TXN10142,MER2004,Bulgari,59182.8,Online Purchase,"Carmel, CA",2024-09-21 22:13:00,CUST5792,8960258.0,8901075.2,****4739,0
TXN10143,MER2029,Park Hyatt,56841.02,Private Banking,"Martha Vineyard, MA",2024-05-30 17:58:00,CUST9180,9981389.8,9924548.78,****9721,0
TXN10144,MER2033,Patek Philippe,64950.75,Card Payment,"Key Largo, FL",2024-11-25 18:13:00,CUST5504,5010514.51,5010514.51,****7394,1
TXN10145,MER2001,Rolex,202964.92,Card Payment,"Kiawah Island, SC",2024-11-11 13:45:00,CUST8852,3080625.18,3283590.1,****6894,1
TXN10146,MER2008,Prada,176259.98,Online Purchase,"Cannes, France",2024-08-15 07:55:00,CUST5645,9902928.92,9902928.92,****1860,1
TXN10147,MER2011,Ferrari,1625218.78,Private Banking,"Jackson Hole, WY",2024-08-06 06:08:00,CUST5724,6370445.74,7995664.52,****1140,1
TXN10148,MER2027,Mandarin Oriental,29676.6,Wire Transfer,"Aspen, CO",2024-06-30 19:05:00,CUST7840,2846671.47,2816994.87,****3250,0
TXN10149,MER2028,Peninsula,109017.41,Wire Transfer,"Carmel, CA",2024-03-08 03:05:00,CUST7587,137276.37,28258.96,****4677,0
