transaction_id,user_id,amount,timestamp,merchant,location,payment_method,account_type,transaction_type
TXN001,U001,150.50,2025-09-30 09:15:23,Amazon,New York,Credit Card,Checking,Purchase
TXN002,U002,25000.00,2025-09-30 02:30:45,Casino Palace,Las Vegas,Credit Card,Savings,Purchase
TXN003,U001,45.99,2025-09-30 14:22:10,Grocery Store,New York,Debit Card,Checking,Purchase
TXN004,U003,0.01,2025-09-30 23:55:30,Online Store,California,Credit Card,Checking,Purchase
TXN005,U002,500.00,2025-09-30 12:00:00,Restaurant,Las Vegas,Cash,Checking,Purchase
TXN006,U004,15000.00,2025-09-30 03:15:22,Electronics Store,Texas,Credit Card,Savings,Purchase
TXN007,U001,89.99,2025-09-30 16:45:12,Gas Station,New York,Debit Card,Checking,Purchase
TXN008,U005,100.00,2025-09-30 10:30:25,Pharmacy,Florida,Credit Card,Checking,Purchase
TXN009,U003,50000.00,2025-09-30 01:22:33,Investment Firm,California,Bank Transfer,Investment,Transfer
TXN010,U004,22.50,2025-09-30 18:15:40,Coffee Shop,Texas,Credit Card,Checking,Purchase
TXN011,U001,300.00,2025-09-30 20:45:15,Department Store,New York,Credit Card,Checking,Purchase
TXN012,U006,12000.00,2025-09-30 04:30:20,Jewelry Store,Nevada,Credit Card,Savings,Purchase
TXN013,U002,75.25,2025-09-30 11:20:35,Bookstore,Las Vegas,Debit Card,Checking,Purchase
TXN014,U007,35000.00,2025-09-30 02:45:10,Luxury Car Dealer,Miami,Bank Transfer,Checking,Purchase
TXN015,U003,19.99,2025-09-30 15:30:45,Streaming Service,California,Credit Card,Checking,Subscription
TXN016,U008,0.50,2025-09-30 23:10:22,Vending Machine,New York,Cash,Checking,Purchase
TXN017,U004,250.00,2025-09-30 13:45:30,Hotel,Texas,Credit Card,Checking,Accommodation
TXN018,U001,125.00,2025-09-30 08:15:40,Gym Membership,New York,Debit Card,Checking,Subscription
TXN019,U009,18000.00,2025-09-30 05:20:15,Medical Center,California,Credit Card,Health,Medical
TXN020,U005,65.75,2025-09-30 17:30:25,Supermarket,Florida,Credit Card,Checking,Purchase
